YEAR,TN_TREND
1980-01-01,39.89561315316904
1981-01-01,40.797967990862595
1982-01-01,45.96489017179212
1983-01-01,48.38396831165588
1984-01-01,49.497353924233934
1985-01-01,40.00580978827644
1986-01-01,42.20876564091206
1987-01-01,41.32714849968134
1988-01-01,43.72789308074054
1989-01-01,51.90085704278963
1990-01-01,55.17305526723903
1991-01-01,48.066593573910815
1992-01-01,50.176715789361694
1993-01-01,44.159307174765466
1994-01-01,50.328993958021115
1995-01-01,50.030143580235475
1996-01-01,44.71762156383374
1997-01-01,49.63806242359792
1998-01-01,49.32881883849352
1999-01-01,53.751675528794216
2000-01-01,56.088592181988155
2001-01-01,52.61185304952534
2002-01-01,54.97323756629394
2003-01-01,51.526132772767745
2004-01-01,54.820581561807934
2005-01-01,54.538522293504116
2006-01-01,57.25867295412762
2007-01-01,57.67018682996652
2008-01-01,56.619896422137536
2009-01-01,55.60895169685915
2010-01-01,50.31069432395954
2011-01-01,58.71214483557599
2012-01-01,56.26182829662396
2013-01-01,56.54822274783144
2014-01-01,62.286003769464706
2015-01-01,62.30820420220368
2016-01-01,63.05139950639907
2017-01-01,59.47393874630389
2018-01-01,58.981671900786075
2019-01-01,57.47194860134988
2020-01-01,62.06333314632189
2021-01-01,55.9436840898708
2022-01-01,62.14430316962116
2023-01-01,63.79212394448007
