YEAR,TX_TREND
1980-01-01,110.36454123534106
1981-01-01,111.95274806562058
1982-01-01,116.07384997759513
1983-01-01,120.02505478115862
1984-01-01,117.72603420101294
1985-01-01,111.8735376961677
1986-01-01,113.94045677325389
1987-01-01,111.47608899132378
1988-01-01,114.86817854894781
1989-01-01,124.11540805333517
1990-01-01,126.48104884784381
1991-01-01,117.89931125071332
1992-01-01,120.69695963461703
1993-01-01,114.26626688442464
1994-01-01,121.38368131978797
1995-01-01,119.60999095838554
1996-01-01,113.87898693930823
1997-01-01,121.2254540777242
1998-01-01,118.40758065428855
1999-01-01,122.41378939189202
2000-01-01,126.03388609080329
2001-01-01,122.71741512798698
2002-01-01,124.79328112925043
2003-01-01,125.28113225732704
2004-01-01,124.58323262643026
2005-01-01,124.94474136224302
2006-01-01,127.89914248777603
2007-01-01,128.55763621144985
2008-01-01,125.61695161722605
2009-01-01,126.14988873291088
2010-01-01,120.31298357197329
2011-01-01,130.71606023742854
2012-01-01,126.67998699994507
2013-01-01,126.97455653852904
2014-01-01,131.74538766446804
2015-01-01,132.85066633524502
2016-01-01,133.0663090425419
2017-01-01,130.72685805636775
2018-01-01,132.1511987397651
2019-01-01,130.23307115966043
2020-01-01,134.97071250581453
2021-01-01,127.41784577961594
2022-01-01,136.05659262955322
2023-01-01,136.68640655464066
